"uniprotkb_canonical_ac","species","status","gene_symbol","uniprotkb_protein_name","ec_number","brenda_ec_number","cazy_gt_family","interpro_id","pfam_ac","go_molecular_function"
"Q6UX72-1","Homo sapiens (Human)","reviewed","B3GNT9","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 (BGnT-9) (Beta-1,3-Gn-T9) (Beta-1,3-N-acetylglucosaminyltransferase 9) (Beta3Gn-T9) (EC 2.4.1.-)","2.4.1.-","","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|galactosyltransferase activity [GO:0008378]|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]"
"Q6Y288-1","Homo sapiens (Human)","reviewed","B3GLCT","Beta-1,3-glucosyltransferase (Beta3Glc-T) (EC 2.4.1.-) (Beta 3-glucosyltransferase) (Beta-3-glycosyltransferase-like)","2.4.1.-","","GT31","IPR003378|IPR029044","PF02434","acetylglucosaminyltransferase activity [GO:0008375]|transferase activity, transferring glycosyl groups [GO:0016757]"
"Q6ZMB0-1","Homo sapiens (Human)","reviewed","B3GNT6","Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)","2.4.1.147","2.4.1.147","GT31","IPR002659","PF01762","acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity [GO:0047224]|acetylgalactosaminyltransferase activity [GO:0008376]|beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity [GO:0047223]|galactosyltransferase activity [GO:0008378]|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]"
"Q6ZN68-1","Homo sapiens (Human)","reviewed","DPY19L2P2","Putative C-mannosyltransferase DPY19L2P2 (EC 2.4.1.-) (Dpy-19-like protein 2 pseudogene 2) (Protein dpy-19 homolog 2-like 2)","2.4.1.-","","","IPR018732|IPR030042","PF10034","mannosyltransferase activity [GO:0000030]"
"Q6ZNI0-1","Homo sapiens (Human)","reviewed","GCNT7","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7 (EC 2.4.1.-)","2.4.1.-","","GT14","IPR003406","PF02485","acetylglucosaminyltransferase activity [GO:0008375]"
"Q6ZPD9-1","Homo sapiens (Human)","reviewed","DPY19L3","Probable C-mannosyltransferase DPY19L3 (EC 2.4.1.-) (Dpy-19-like protein 3) (Protein dpy-19 homolog 3)","2.4.1.-","","GT98","IPR018732|IPR030039","PF10034","mannosyltransferase activity [GO:0000030]"
"Q70JA7-1","Homo sapiens (Human)","reviewed","CHSY3","Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)","2.4.1.175|2.4.1.226","2.4.1.175","GT31|GT7","IPR008428|IPR029044","PF05679","glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]|metal ion binding [GO:0046872]|N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510]"
"Q76KP1-1","Homo sapiens (Human)","reviewed","B4GALNT4","N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4)","2.4.1.244","2.4.1.244|2.4.1.92","GT7","IPR008428|IPR029044|IPR037524|IPR011658","PF05679","acetylgalactosaminyltransferase activity [GO:0008376]|N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]"
"Q7Z388-1","Homo sapiens (Human)","reviewed","DPY19L4","Probable C-mannosyltransferase DPY19L4 (EC 2.4.1.-) (Dpy-19-like protein 4) (Protein dpy-19 homolog 4)","2.4.1.-","","","IPR018732|IPR030040","PF10034","mannosyltransferase activity [GO:0000030]"
"Q7Z4H8-1","Homo sapiens (Human)","reviewed","POGLUT3","Protein O-glucosyltransferase 3 (EC 2.4.1.-) (KDEL motif-containing protein 2) (Protein O-xylosyltransferase POGLUT3) (EC 2.4.2.26)","2.4.1.-|2.4.2.26","","","IPR006598|IPR017868|IPR001298|IPR013783|IPR014756","PF00630|PF05686","glucosyltransferase activity [GO:0046527]|protein xylosyltransferase activity [GO:0030158]|UDP-glucosyltransferase activity [GO:0035251]|UDP-xylosyltransferase activity [GO:0035252]"
"Q7Z4J2-1","Homo sapiens (Human)","reviewed","GLT6D1","Putative glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-) (Galactosyltransferase family 6 domain-containing 1)","2.4.1.-","","GT6","IPR005076|IPR029044","PF03414","transferase activity, transferring glycosyl groups [GO:0016757]|transferase activity, transferring hexosyl groups [GO:0016758]"
"Q7Z4T8-1","Homo sapiens (Human)","reviewed","GALNTL5","Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5 (Polypeptide GalNAc transferase 15) (GalNAc-T15) (pp-GaNTase 15) (Protein-UDP acetylgalactosaminyltransferase 15) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 15)","","2.4.1.41","GT27","IPR001173|IPR029044","PF00535","metal ion binding [GO:0046872]"
"Q7Z7M8-1","Homo sapiens (Human)","reviewed","B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 (BGnT-8) (Beta-1,3-Gn-T8) (Beta-1,3-N-acetylglucosaminyltransferase 8) (Beta3Gn-T8) (EC 2.4.1.-)","2.4.1.-","","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|galactosyltransferase activity [GO:0008378]|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]|protein N-acetylglucosaminyltransferase activity [GO:0016262]"
"Q7Z7M9-1","Homo sapiens (Human)","reviewed","GALNT5","Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q86SF2-1","Homo sapiens (Human)","reviewed","GALNT7","N-acetylgalactosaminyltransferase 7 (EC 2.4.1.-) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7)","2.4.1.-","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q86SR1-1","Homo sapiens (Human)","reviewed","GALNT10","Polypeptide N-acetylgalactosaminyltransferase 10 (EC 2.4.1.41) (Polypeptide GalNAc transferase 10) (GalNAc-T10) (pp-GaNTase 10) (Protein-UDP acetylgalactosaminyltransferase 10) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q86VD9-1","Homo sapiens (Human)","reviewed","PIGZ","GPI mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV) (Phosphatidylinositol-glycan biosynthesis class Z protein) (PIG-Z) (SMP3 homolog) (hSMP3)","2.4.1.-","","GT22","IPR005599","PF03901","alpha-1,2-mannosyltransferase activity [GO:0000026]|mannosyltransferase activity [GO:0000030]"
"Q86X52-1","Homo sapiens (Human)","reviewed","CHSY1","Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1)","2.4.1.175|2.4.1.226","2.4.1.175","GT31|GT7","IPR008428|IPR029044","PF05679","glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]|metal ion binding [GO:0046872]|N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510]"
"Q86Y38-1","Homo sapiens (Human)","reviewed","XYLT1","Xylosyltransferase 1 (EC 2.4.2.26) (Peptide O-xylosyltransferase 1) (Xylosyltransferase I) (XT-I) (XylT-I)","2.4.2.26","2.4.2.26","GT14","IPR003406|IPR039864|IPR024448","PF02485|PF12529","acetylglucosaminyltransferase activity [GO:0008375]|metal ion binding [GO:0046872]|protein xylosyltransferase activity [GO:0030158]"
"Q8IUC8-1","Homo sapiens (Human)","reviewed","GALNT13","Polypeptide N-acetylgalactosaminyltransferase 13 (EC 2.4.1.41) (Polypeptide GalNAc transferase 13) (GalNAc-T13) (pp-GaNTase 13) (Protein-UDP acetylgalactosaminyltransferase 13) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8IXK2-1","Homo sapiens (Human)","reviewed","GALNT12","Polypeptide N-acetylgalactosaminyltransferase 12 (EC 2.4.1.41) (Polypeptide GalNAc transferase 12) (GalNAc-T12) (pp-GaNTase 12) (Protein-UDP acetylgalactosaminyltransferase 12) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 12)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8IYK4-1","Homo sapiens (Human)","reviewed","COLGALT2","Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)","2.4.1.50","2.4.1.50","GT25","IPR002654|IPR029044","PF01755","procollagen galactosyltransferase activity [GO:0050211]"
"Q8IZ52-1","Homo sapiens (Human)","reviewed","CHPF","Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)","2.4.1.175|2.4.1.226","2.4.1.175|2.4.1.226","GT31|GT7","IPR008428","PF05679","glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]|metal ion binding [GO:0046872]|N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510]"
"Q8N0V5-1","Homo sapiens (Human)","reviewed","GCNT2","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)","2.4.1.150","","GT14","IPR003406","PF02485","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity [GO:0008109]"
"Q8N3T1-1","Homo sapiens (Human)","reviewed","GALNT15","Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8N3Y3-1","Homo sapiens (Human)","reviewed","LARGE2","LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]","2.4.-.-|2.4.2.-|2.4.1.-","","GT49|GT8","IPR002495|IPR029044","PF01501","glucuronosyltransferase activity [GO:0015020]|manganese ion binding [GO:0030145]|transferase activity, transferring glycosyl groups [GO:0016757]|UDP-xylosyltransferase activity [GO:0035252]|xylosyltransferase activity [GO:0042285]"
"Q8N428-1","Homo sapiens (Human)","reviewed","GALNT16","Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide GalNAc transferase 16) (GalNAc-T16) (Polypeptide GalNAc transferase-like protein 1) (GalNAc-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 1)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8N4A0-1","Homo sapiens (Human)","reviewed","GALNT4","Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|manganese ion binding [GO:0030145]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8N5D6-1","Homo sapiens (Human)","reviewed","GBGT1","Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.-) (Forssman glycolipid synthase-like protein)","2.4.1.-","2.4.1.88","GT6","IPR005076|IPR029044","PF03414","globoside alpha-N-acetylgalactosaminyltransferase activity [GO:0047277]|metal ion binding [GO:0046872]|transferase activity, transferring glycosyl groups [GO:0016757]"
"Q8N6G5-1","Homo sapiens (Human)","reviewed","CSGALNACT2","Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)","2.4.1.174","2.4.1.174|2.4.1.175","GT7","IPR008428|IPR029044","PF05679","acetylgalactosaminyltransferase activity [GO:0008376]|glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047237]|metal ion binding [GO:0046872]"
"Q8NAT1-1","Homo sapiens (Human)","reviewed","POMGNT2","Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (EC 2.4.1.312) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2)","2.4.1.312","","GT61","IPR003961|IPR036116|IPR007657|IPR013783","PF04577","acetylglucosaminyltransferase activity [GO:0008375]|protein O-GlcNAc transferase activity [GO:0097363]"
"Q8NBI6-1","Homo sapiens (Human)","reviewed","XXYLT1","Xyloside xylosyltransferase 1 (EC 2.4.2.n3) (UDP-xylose:alpha-xyloside alpha-1,3-xylosyltransferase)","2.4.2.n3","","GT8","IPR002495|IPR029044","PF01501","magnesium ion binding [GO:0000287]|manganese ion binding [GO:0030145]|UDP-xylosyltransferase activity [GO:0035252]"
"Q8NBJ5-1","Homo sapiens (Human)","reviewed","COLGALT1","Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (ColGalT 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)","2.4.1.50","2.4.1.50","GT25","IPR002654|IPR029044","PF01755","procollagen galactosyltransferase activity [GO:0050211]"
"Q8NBL1-1","Homo sapiens (Human)","reviewed","POGLUT1","Protein O-glucosyltransferase 1 (EC 2.4.1.-) (CAP10-like 46 kDa protein) (hCLP46) (KTEL motif-containing protein 1) (Myelodysplastic syndromes relative protein) (O-glucosyltransferase Rumi homolog) (hRumi) (Protein O-xylosyltransferase POGLUT1) (EC 2.4.2.26)","2.4.1.-|2.4.2.26","","GT90","IPR006598","PF05686","glucosyltransferase activity [GO:0046527]|protein xylosyltransferase activity [GO:0030158]|UDP-glucosyltransferase activity [GO:0035251]|UDP-xylosyltransferase activity [GO:0035252]"
"Q8NCL4-1","Homo sapiens (Human)","reviewed","GALNT6","Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8NCR0-1","Homo sapiens (Human)","reviewed","B3GALNT2","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)","2.4.1.313","2.4.1.313","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|acetylglucosaminyltransferase activity [GO:0008375]|galactosyltransferase activity [GO:0008378]"
"Q8NCW6-1","Homo sapiens (Human)","reviewed","GALNT11","Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|Notch binding [GO:0005112]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q8NDV1-1","Homo sapiens (Human)","reviewed","ST6GALNAC3","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (EC 2.4.99.7) (GalNAc alpha-2,6-sialyltransferase III) (ST6GalNAc III) (ST6GalNAcIII) (STY) (Sialyltransferase 7C) (SIAT7-C)","2.4.99.7","2.4.99.7","GT29","IPR001675|IPR038578|IPR012163","PF00777","(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity [GO:0047290]|alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity [GO:0001665]|sialyltransferase activity [GO:0008373]"
"Q8NES3-1","Homo sapiens (Human)","reviewed","LFNG","Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)","2.4.1.222","","GT31","IPR017374|IPR003378","PF02434","acetylglucosaminyltransferase activity [GO:0008375]|metal ion binding [GO:0046872]|O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity [GO:0033829]"
"Q8NFL0-1","Homo sapiens (Human)","reviewed","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)","2.4.1.-","2.4.1.149","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|galactosyltransferase activity [GO:0008378]|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]"
"Q8NHY0-1","Homo sapiens (Human)","reviewed","B4GALNT2","Beta-1,4 N-acetylgalactosaminyltransferase 2 (EC 2.4.1.-) (Sd(a) beta-1,4-GalNAc transferase) (UDP-GalNAc:Neu5Aca2-3Galb-R b1,4-N-acetylgalactosaminyltransferase)","2.4.1.-","2.4.1.165","GT12","IPR001173|IPR011143|IPR029044","PF00535","acetylgalactosaminyltransferase activity [GO:0008376]"
"Q8TCJ2-1","Homo sapiens (Human)","reviewed","STT3B","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)","2.4.99.18","","GT66","IPR003674","PF02516","dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]|metal ion binding [GO:0046872]"
"Q8TDX6-1","Homo sapiens (Human)","reviewed","CSGALNACT1","Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)","2.4.1.174","2.4.1.174|2.4.1.175","GT7","IPR008428|IPR029044","PF05679","acetylgalactosaminyltransferase activity [GO:0008376]|glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]|glucuronosyltransferase activity [GO:0015020]|glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047237]|metal ion binding [GO:0046872]|peptidoglycan glycosyltransferase activity [GO:0008955]"
"Q8WZA1-1","Homo sapiens (Human)","reviewed","POMGNT1","Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-) (UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2) (GnT I.2)","2.4.1.-","","GT13","IPR004139|IPR039477|IPR029044|IPR039474","PF03071|PF15711","acetylglucosaminyltransferase activity [GO:0008375]|beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity [GO:0047223]|manganese ion binding [GO:0030145]"
"Q92185-1","Homo sapiens (Human)","reviewed","ST8SIA1","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase (EC 2.4.99.8) (Alpha-2,8-sialyltransferase 8A) (Ganglioside GD3 synthase) (Ganglioside GT3 synthase) (Sialyltransferase 8A) (SIAT8-A) (Sialyltransferase St8Sia I) (ST8SiaI)","2.4.99.8","2.4.99.8","GT29","IPR001675|IPR038578|IPR012163","PF00777","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]|sialyltransferase activity [GO:0008373]"
"Q92186-1","Homo sapiens (Human)","reviewed","ST8SIA2","Alpha-2,8-sialyltransferase 8B (EC 2.4.99.-) (Sialyltransferase 8B) (SIAT8-B) (Sialyltransferase St8Sia II) (ST8SiaII) (Sialyltransferase X) (STX)","2.4.99.-","","GT29","IPR001675|IPR038578|IPR012163","PF00777","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]|sialic acid binding [GO:0033691]"
"Q92187-1","Homo sapiens (Human)","reviewed","ST8SIA4","CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8D) (Polysialyltransferase-1) (Sialyltransferase 8D) (SIAT8-D) (Sialyltransferase St8Sia IV) (ST8SiaIV)","2.4.99.-","2.4.99.8","GT29","IPR001675|IPR038578|IPR012163","PF00777","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]|sialic acid binding [GO:0033691]"
"Q92521-1","Homo sapiens (Human)","reviewed","PIGB","GPI mannosyltransferase 3 (EC 2.4.1.-) (GPI mannosyltransferase III) (GPI-MT-III) (Phosphatidylinositol-glycan biosynthesis class B protein) (PIG-B)","2.4.1.-","","GT22","IPR005599|IPR039521","PF03901","glycolipid mannosyltransferase activity [GO:0004376]|mannosyltransferase activity [GO:0000030]"
"Q92535-1","Homo sapiens (Human)","reviewed","PIGC","Phosphatidylinositol N-acetylglucosaminyltransferase subunit C (EC 2.4.1.198) (Phosphatidylinositol-glycan biosynthesis class C protein) (PIG-C)","2.4.1.198","","","IPR009450","PF06432","catalytic activity [GO:0003824]|phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]"
"Q92685-1","Homo sapiens (Human)","reviewed","ALG3","Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)","2.4.1.258","2.4.1.258","GT58","IPR007873","PF05208","alpha-1,3-mannosyltransferase activity [GO:0000033]|dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]"
"Q92819-1","Homo sapiens (Human)","reviewed","HAS2","Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (HA synthase 2)","2.4.1.212","2.4.1.212","GT2","IPR028371|IPR029044","","hyaluronan synthase activity [GO:0050501]|identical protein binding [GO:0042802]"
"Q92839-1","Homo sapiens (Human)","reviewed","HAS1","Hyaluronan synthase 1 (EC 2.4.1.212) (Hyaluronate synthase 1) (Hyaluronic acid synthase 1) (HA synthase 1) (HuHAS1)","2.4.1.212","2.4.1.212","GT2","IPR028385|IPR029044","","hyaluronan synthase activity [GO:0050501]|identical protein binding [GO:0042802]"
"Q92935-1","Homo sapiens (Human)","reviewed","EXTL1","Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein)","2.4.1.224","","GT47|GT64","IPR004263|IPR027675|IPR040911|IPR015338|IPR029044","PF03016|PF09258","glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity [GO:0050508]"
